id;host_id;latitude;longitude;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;;;;;;;
2539.00;2787.00;4064749.00;-7397237.00;149.00;1.00;9.00;43392.00;0.21;6.00;365.00;;;;;;;
2595.00;2845.00;4075362.00;-7398377.00;225.00;1.00;45.00;43606.00;0.38;2.00;355.00;;;;;;;
3647.00;4632.00;4080902.00;-739419.00;150.00;3.00;0.00;;;1.00;365.00;;;;;;;
3831.00;4869.00;4068514.00;-7395976.00;89.00;1.00;270.00;43651.00;4.64;1.00;194.00;;;;;;;
5022.00;7192.00;4079851.00;-7394399.00;80.00;10.00;9.00;43423.00;0.10;1.00;0.00;;;;;;;
5099.00;7322.00;4074767.00;-73975.00;200.00;3.00;74.00;43638.00;0.59;1.00;129.00;;;;;;;
5121.00;7356.00;4068688.00;-7395596.00;60.00;45.00;49.00;43013.00;0.40;1.00;0.00;;;;;;;
5178.00;8967.00;4076489.00;-7398493.00;79.00;2.00;430.00;43640.00;3.47;1.00;220.00;;;;;;;
5203.00;7490.00;4080178.00;-7396723.00;79.00;2.00;118.00;42937.00;0.99;1.00;0.00;;;;;;;
5238.00;7549.00;4071344.00;-7399037.00;150.00;1.00;160.00;43625.00;1.33;4.00;188.00;;;;;;;
5295.00;7702.00;4080316.00;-7396545.00;135.00;5.00;53.00;43638.00;0.43;1.00;6.00;;;;;;;
5441.00;7989.00;4076076.00;-7398867.00;85.00;2.00;188.00;43639.00;1.50;1.00;39.00;;;;;;;
5803.00;9744.00;4066829.00;-7398779.00;89.00;4.00;167.00;43640.00;1.34;3.00;314.00;;;;;;;
6021.00;11528.00;4079826.00;-7396113.00;85.00;2.00;113.00;43651.00;0.91;1.00;333.00;;;;;;;
6090.00;11975.00;407353.00;-7400525.00;120.00;90.00;27.00;43404.00;0.22;1.00;0.00;;;;;;;
6848.00;15991.00;4070837.00;-7395352.00;140.00;2.00;148.00;43645.00;1.20;1.00;46.00;;;;;;;
7097.00;17571.00;4069169.00;-7397185.00;215.00;2.00;198.00;43644.00;1.72;1.00;321.00;;;;;;;
7322.00;18946.00;4074192.00;-7399501.00;140.00;1.00;260.00;43647.00;2.12;1.00;12.00;;;;;;;
7726.00;20950.00;4067592.00;-7394694.00;99.00;3.00;53.00;43638.00;4.44;1.00;21.00;;;;;;;
7750.00;17985.00;4079685.00;-7394872.00;190.00;7.00;0.00;;;2.00;249.00;;;;;;;
