price;speed;hd;ram;screen;ads;trend
1499.00;25.00;80.00;4.00;14.00;94.00;1.00
1795.00;33.00;85.00;2.00;14.00;94.00;1.00
1595.00;25.00;170.00;4.00;15.00;94.00;1.00
1849.00;25.00;170.00;8.00;14.00;94.00;1.00
3295.00;33.00;340.00;16.00;14.00;94.00;1.00
3695.00;66.00;340.00;16.00;14.00;94.00;1.00
1720.00;25.00;170.00;4.00;14.00;94.00;1.00
1995.00;50.00;85.00;2.00;14.00;94.00;1.00
2225.00;50.00;210.00;8.00;14.00;94.00;1.00
2575.00;50.00;210.00;4.00;15.00;94.00;1.00
2195.00;33.00;170.00;8.00;15.00;94.00;1.00
2605.00;66.00;210.00;8.00;14.00;94.00;1.00
2045.00;50.00;130.00;4.00;14.00;94.00;1.00
2295.00;25.00;245.00;8.00;14.00;94.00;1.00
2699.00;50.00;212.00;8.00;14.00;94.00;1.00
2225.00;50.00;130.00;4.00;14.00;94.00;1.00
1595.00;33.00;85.00;2.00;14.00;94.00;1.00
2325.00;33.00;210.00;4.00;15.00;94.00;1.00
2095.00;33.00;250.00;4.00;15.00;94.00;1.00
4395.00;66.00;452.00;8.00;14.00;94.00;1.00
1695.00;33.00;130.00;4.00;14.00;94.00;1.00
2795.00;66.00;130.00;4.00;14.00;94.00;1.00
2895.00;25.00;340.00;16.00;14.00;94.00;1.00
2875.00;50.00;210.00;4.00;17.00;94.00;1.00
4195.00;50.00;452.00;8.00;14.00;94.00;1.00
1290.00;33.00;80.00;2.00;14.00;94.00;1.00
1975.00;33.00;130.00;4.00;14.00;94.00;1.00
3995.00;33.00;452.00;8.00;14.00;94.00;1.00
3095.00;33.00;340.00;16.00;14.00;94.00;1.00
3244.00;66.00;245.00;8.00;14.00;94.00;1.00
1920.00;33.00;170.00;4.00;14.00;94.00;1.00
1995.00;25.00;130.00;4.00;14.00;94.00;1.00
2595.00;33.00;210.00;8.00;17.00;94.00;1.00
2475.00;50.00;210.00;4.00;15.00;94.00;1.00
1999.00;33.00;170.00;4.00;14.00;94.00;1.00
2675.00;66.00;210.00;4.00;15.00;94.00;1.00
2325.00;66.00;210.00;8.00;14.00;94.00;1.00
3795.00;66.00;500.00;8.00;14.00;94.00;1.00
2405.00;50.00;210.00;8.00;14.00;94.00;1.00
2425.00;50.00;210.00;8.00;14.00;94.00;1.00
2895.00;50.00;245.00;8.00;14.00;94.00;1.00
3895.00;66.00;500.00;8.00;15.00;94.00;1.00
2499.00;33.00;212.00;8.00;14.00;94.00;1.00
2255.00;33.00;210.00;8.00;14.00;94.00;1.00
3495.00;50.00;340.00;16.00;14.00;94.00;1.00
2695.00;33.00;245.00;8.00;14.00;94.00;1.00
2195.00;33.00;130.00;4.00;14.00;94.00;1.00
1749.00;25.00;120.00;4.00;14.00;94.00;1.00
2399.00;50.00;212.00;4.00;14.00;94.00;1.00
1995.00;33.00;250.00;4.00;14.00;94.00;1.00
2499.00;33.00;170.00;4.00;14.00;94.00;1.00
2395.00;33.00;130.00;4.00;14.00;94.00;1.00
2995.00;66.00;340.00;8.00;15.00;94.00;1.00
