squareMeters,numberOfRooms,floors,basement,attic,garage,GuestRoom,price
75523,3,63,4313,9005,956,7,7559081.5
80771,39,98,3653,2436,128,2,8085989.5
55712,58,19,2937,8852,135,9,5574642.1
32316,47,6,659,7141,359,3,3232561.2
70429,19,90,8435,2429,292,4,7055052
39223,36,17,2009,4552,757,1,3926647.2
58682,10,99,5930,9453,848,5,5876376.5
86929,100,11,6326,4748,654,10,8696869.3
51522,3,61,632,5792,807,5,5154055.2
39686,42,15,5198,5342,591,3,3970892.1
23563,21,90,703,852,684,10,2366397.3
96470,74,21,5414,1172,716,9,9652258.1
19127,31,5,5387,4430,374,4,1914688.8
13087,44,77,1745,724,582,0,1320803.4
79770,3,69,8871,7117,240,7,7986665.8
75985,60,67,4878,281,384,5,7607322.9
64169,88,6,3054,129,726,9,6420823.1
99371,31,16,3258,6296,354,8,9944705.3
25966,37,17,8257,2557,162,6,2604486.6
41792,43,10,2950,9573,572,5,4187667.7
28795,64,50,9862,2666,330,0,2888047.9
92383,12,78,7507,9056,892,1,9244344
33279,64,65,2427,717,732,1,3333351.9
34782,47,73,9586,6604,822,2,3482594
13386,51,90,2885,1149,904,4,1342509.3
20883,56,54,9982,8142,670,10,2091505.8
95121,46,3,615,1221,328,10,9515440.4
6071,72,14,3306,3635,295,2,612471.3
11844,43,55,5292,8233,395,10,1189939.3
52078,7,73,1864,2049,558,5,5217708.6
25897,98,92,9799,9569,116,10,2598763.3
85443,40,54,3056,8928,292,2,8555234.1
11412,78,79,6899,8997,695,0,1145642.9
97550,89,98,5391,897,388,0,9765099.4
76485,47,9,2860,3129,982,1,7653300.8
26169,29,62,7918,187,919,9,2622399.3
24239,87,91,6656,7149,698,3,2427801.8
36239,8,24,6679,6528,798,5,3627708
10500,88,49,4170,5501,422,5,1057021.3
87060,27,91,6629,435,512,7,8711426
66683,19,6,7473,796,237,3,6677649.1
66569,59,56,2020,7188,269,10,6667802.6
84559,29,69,3573,9556,918,8,8460604
28749,39,53,8113,2352,982,3,2877997.6
76091,38,32,8150,6037,930,7,7614076.6
92696,49,38,1559,5111,957,2,9272740.1
46988,66,27,8339,6331,874,4,4707341.1
48062,22,4,7908,552,817,1,4809993.8
5767,97,11,2516,5601,307,4,586742.8
59800,47,27,5075,3104,864,4,5984462.1
54836,25,53,5278,1059,313,6,5492532
54318,10,52,9580,3787,227,1,5444967.8
70021,52,28,4480,6919,680,1,7005572.2
54368,11,20,231,1939,223,8,5446398.1
31421,29,68,8949,2080,630,5,3147829.9
63053,6,28,8414,6270,939,8,6315375.7
4187,89,17,186,2627,559,2,421906.4
33108,82,83,6250,8751,552,2,3316069.6
64393,8,51,3835,2403,559,6,6441378
93876,60,70,4086,5991,494,8,9390891.9
67040,60,22,4817,5222,927,0,6714247.3
47938,17,68,327,209,352,8,4797883.3
39090,57,74,3572,8722,811,6,3917691
43609,66,55,3388,2353,120,7,4364910.5
41998,74,17,6838,4925,828,9,4203344
36496,9,47,2768,6291,230,0,3656368.7
84016,15,55,3284,9879,641,2,8410054.6
3087,27,94,5866,3557,199,1,321717.5
89768,48,17,2485,108,864,7,8980518.3
30226,74,87,515,13,223,4,3039243.7
58478,5,35,8366,4799,979,7,5853710.6
66621,48,89,5024,8103,388,4,6666403.5
73314,43,38,3281,5020,968,8,7336538.8
59972,28,18,8384,7226,226,4,6000826.1
71591,20,58,6486,3310,366,0,7165980.8
92462,52,46,9584,8587,677,8,9257840.9
52325,60,24,8987,3149,808,4,5238533.2
67311,67,10,6928,7808,774,5,6732249
45050,99,87,5218,8217,144,3,4508695.3
61534,73,97,9265,8974,755,6,6159875.1
84091,50,72,2668,4669,766,8,8414104.3
77579,69,97,4850,5648,144,8,7767797.9
25204,31,37,6560,4287,116,6,2530488
42059,46,62,8827,1853,860,3,4212125.7
38430,43,51,1214,606,289,8,3846214.1
7069,4,89,7499,8969,493,3,709107.9
34780,75,9,3033,6475,800,4,3480536.9
12757,100,7,6795,9983,738,5,1277834
33749,74,38,1729,7952,616,2,3380855.9
600,37,43,6738,5603,866,1,63402.1
7239,61,83,7782,2518,986,4,733776.4
34919,20,84,6566,628,408,2,3499532.7
25614,29,27,700,377,519,9,2563970.4
51434,64,23,2080,9575,753,7,5146226.2
78960,55,76,7126,5012,974,0,7900996.5
70751,64,41,1506,590,794,7,7084110.6
81870,60,100,3632,5960,723,3,8198185
91559,36,21,788,4788,132,8,9161130.7
72098,9,67,9080,9356,740,9,7216904.4
23177,19,52,2706,4593,648,6,2318776.3
39517,92,85,7618,1172,810,9,3953491.9
55232,23,8,1492,5697,625,6,5524015.1
53735,49,92,8654,9588,290,8,5384554.6
