carat;depth;table;price;x;y;z
0.23;61.50;55.00;326.00;3.95;3.98;2.43
0.21;59.80;61.00;326.00;3.89;3.84;2.31
0.23;56.90;65.00;327.00;4.05;4.07;2.31
0.29;62.40;58.00;334.00;4.20;4.23;2.63
0.31;63.30;58.00;335.00;4.34;4.35;2.75
0.24;62.80;57.00;336.00;3.94;3.96;2.48
0.24;62.30;57.00;336.00;3.95;3.98;2.47
0.26;61.90;55.00;337.00;4.07;4.11;2.53
0.22;65.10;61.00;337.00;3.87;3.78;2.49
0.23;59.40;61.00;338.00;4.00;4.05;2.39
0.30;64.00;55.00;339.00;4.25;4.28;2.73
0.23;62.80;56.00;340.00;3.93;3.90;2.46
0.22;60.40;61.00;342.00;3.88;3.84;2.33
0.31;62.20;54.00;344.00;4.35;4.37;2.71
0.20;60.20;62.00;345.00;3.79;3.75;2.27
0.32;60.90;58.00;345.00;4.38;4.42;2.68
0.30;62.00;54.00;348.00;4.31;4.34;2.68
0.30;63.40;54.00;351.00;4.23;4.29;2.70
0.30;63.80;56.00;351.00;4.23;4.26;2.71
0.30;62.70;59.00;351.00;4.21;4.27;2.66
0.30;63.30;56.00;351.00;4.26;4.30;2.71
0.23;63.80;55.00;352.00;3.85;3.92;2.48
0.23;61.00;57.00;353.00;3.94;3.96;2.41
0.31;59.40;62.00;353.00;4.39;4.43;2.62
0.31;58.10;62.00;353.00;4.44;4.47;2.59
0.23;60.40;58.00;354.00;3.97;4.01;2.41
0.24;62.50;57.00;355.00;3.97;3.94;2.47
0.30;62.20;57.00;357.00;4.28;4.30;2.67
0.23;60.50;61.00;357.00;3.96;3.97;2.40
0.23;60.90;57.00;357.00;3.96;3.99;2.42
0.23;60.00;57.00;402.00;4.00;4.03;2.41
0.23;59.80;57.00;402.00;4.04;4.06;2.42
0.23;60.70;59.00;402.00;3.97;4.01;2.42
0.23;59.50;58.00;402.00;4.01;4.06;2.40
0.23;61.90;58.00;402.00;3.92;3.96;2.44
0.23;58.20;59.00;402.00;4.06;4.08;2.37
0.23;64.10;59.00;402.00;3.83;3.85;2.46
0.31;64.00;54.00;402.00;4.29;4.31;2.75
0.26;60.80;59.00;403.00;4.13;4.16;2.52
0.33;61.80;55.00;403.00;4.49;4.51;2.78
0.33;61.20;56.00;403.00;4.49;4.50;2.75
0.33;61.10;56.00;403.00;4.49;4.55;2.76
0.26;65.20;56.00;403.00;3.99;4.02;2.61
0.26;58.40;63.00;403.00;4.19;4.24;2.46
0.32;63.10;56.00;403.00;4.34;4.37;2.75
0.29;62.40;58.00;403.00;4.24;4.26;2.65
0.32;61.80;55.00;403.00;4.35;4.42;2.71
0.32;63.80;56.00;403.00;4.36;4.38;2.79
0.25;63.30;60.00;404.00;4.00;4.03;2.54
0.29;60.70;60.00;404.00;4.33;4.37;2.64
0.24;60.90;61.00;404.00;4.02;4.03;2.45
0.23;61.90;54.00;404.00;3.93;3.95;2.44
0.32;60.90;55.00;404.00;4.45;4.48;2.72
0.22;61.60;58.00;404.00;3.93;3.89;2.41
0.22;59.30;62.00;404.00;3.91;3.88;2.31
0.30;61.00;59.00;405.00;4.30;4.33;2.63
0.30;59.30;61.00;405.00;4.43;4.38;2.61
0.30;62.60;57.00;405.00;4.25;4.28;2.67
0.30;63.00;57.00;405.00;4.28;4.32;2.71
0.30;63.20;55.00;405.00;4.25;4.29;2.70
0.35;60.90;57.00;552.00;4.54;4.59;2.78
0.30;62.60;59.00;552.00;4.23;4.27;2.66
0.30;62.50;57.00;552.00;4.29;4.32;2.69
0.30;62.10;56.00;552.00;4.30;4.33;2.68
0.42;61.50;59.00;552.00;4.78;4.84;2.96
0.28;61.40;56.00;553.00;4.19;4.22;2.58
0.32;62.00;55.30;553.00;4.39;4.42;2.73
0.31;63.30;57.00;553.00;4.33;4.30;2.73
0.31;61.80;58.00;553.00;4.35;4.32;2.68
0.24;60.70;58.00;553.00;4.01;4.03;2.44
0.24;61.50;60.00;553.00;3.97;4.00;2.45
0.30;63.10;56.00;554.00;4.29;4.27;2.70
0.30;62.90;59.00;554.00;4.28;4.24;2.68
0.30;62.50;57.00;554.00;4.29;4.25;2.67
0.30;63.70;57.00;554.00;4.28;4.26;2.72
0.26;59.20;60.00;554.00;4.19;4.22;2.49
0.26;59.90;58.00;554.00;4.15;4.23;2.51
0.26;62.40;54.00;554.00;4.08;4.13;2.56
0.26;62.80;60.00;554.00;4.01;4.05;2.53
0.26;62.60;59.00;554.00;4.06;4.09;2.55
0.26;63.40;59.00;554.00;4.00;4.04;2.55
0.26;62.10;60.00;554.00;4.03;4.12;2.53
0.26;62.90;58.00;554.00;4.02;4.06;2.54
0.38;61.60;56.00;554.00;4.65;4.67;2.87
0.26;57.90;60.00;554.00;4.22;4.25;2.45
0.24;62.30;59.00;554.00;3.95;3.92;2.45
0.24;61.20;58.00;554.00;4.01;3.96;2.44
0.24;60.80;59.00;554.00;4.02;4.00;2.44
0.24;60.70;58.00;554.00;4.07;4.04;2.46
0.32;62.90;58.00;554.00;4.35;4.33;2.73
0.70;62.50;57.00;2757.00;5.70;5.72;3.57
0.86;55.10;69.00;2757.00;6.45;6.33;3.52
0.70;61.60;56.00;2757.00;5.70;5.67;3.50
0.71;62.40;57.00;2759.00;5.68;5.73;3.56
0.78;63.80;56.00;2759.00;5.81;5.85;3.72
0.70;57.50;58.00;2759.00;5.85;5.90;3.38
0.70;59.40;62.00;2759.00;5.71;5.76;3.40
0.96;66.30;62.00;2759.00;6.27;5.95;4.07
0.73;61.60;59.00;2760.00;5.77;5.78;3.56
0.80;61.50;58.00;2760.00;5.97;5.93;3.66
0.75;63.20;56.00;2760.00;5.80;5.75;3.65
0.75;59.90;54.00;2760.00;6.00;5.96;3.58
0.74;61.60;55.00;2760.00;5.80;5.85;3.59
0.75;61.70;58.00;2760.00;5.85;5.79;3.59
0.80;62.90;56.00;2760.00;5.94;5.87;3.72
0.75;62.20;55.00;2760.00;5.87;5.80;3.63
0.80;63.00;59.00;2760.00;5.90;5.81;3.69
0.74;62.30;55.00;2761.00;5.77;5.81;3.61
0.81;58.80;57.00;2761.00;6.14;6.11;3.60
0.59;62.00;55.00;2761.00;5.38;5.43;3.35
0.80;61.40;57.00;2761.00;5.96;6.00;3.67
0.74;62.20;56.00;2761.00;5.80;5.84;3.62
0.90;63.00;58.00;2761.00;6.16;6.12;3.87
0.74;62.20;59.00;2762.00;5.73;5.82;3.59
0.73;62.60;56.00;2762.00;5.77;5.74;3.60
0.73;62.70;53.00;2762.00;5.80;5.75;3.62
0.80;61.70;58.00;2762.00;5.98;5.94;3.68
0.71;62.40;54.00;2762.00;5.72;5.76;3.58
0.70;60.70;58.00;2762.00;5.73;5.76;3.49
0.80;59.90;59.00;2762.00;6.01;6.07;3.62
0.71;62.30;56.00;2762.00;5.73;5.69;3.56
0.74;62.30;54.00;2762.00;5.80;5.83;3.62
0.70;61.70;63.00;2762.00;5.64;5.61;3.47
0.70;64.50;57.00;2762.00;5.57;5.53;3.58
0.70;65.30;55.00;2762.00;5.63;5.58;3.66
0.70;61.60;60.00;2762.00;5.65;5.59;3.46
0.91;61.40;56.00;2763.00;6.09;5.97;3.70
0.61;59.60;57.00;2763.00;5.56;5.58;3.32
0.91;64.40;57.00;2763.00;6.11;6.09;3.93
0.91;65.70;60.00;2763.00;6.03;5.99;3.95
0.77;62.00;56.00;2763.00;5.89;5.86;3.64
0.71;63.60;58.00;2764.00;5.64;5.68;3.60
0.71;61.90;59.00;2764.00;5.69;5.72;3.53
0.70;62.60;60.00;2765.00;5.62;5.65;3.53
0.77;61.30;60.00;2765.00;5.88;5.90;3.61
0.63;60.90;60.00;2765.00;5.52;5.55;3.37
0.71;60.10;62.00;2765.00;5.74;5.77;3.46
0.71;61.80;59.00;2765.00;5.69;5.73;3.53
0.76;61.20;57.00;2765.00;5.88;5.91;3.61
0.64;61.90;56.00;2766.00;5.53;5.56;3.43
0.71;60.90;57.00;2766.00;5.78;5.75;3.51
0.71;59.80;56.00;2766.00;5.89;5.81;3.50
0.70;61.80;55.00;2767.00;5.68;5.72;3.52
0.70;60.00;57.00;2767.00;5.80;5.87;3.50
0.71;61.60;55.00;2767.00;5.74;5.76;3.54
0.70;62.10;64.00;2767.00;5.62;5.65;3.50
0.71;63.30;59.00;2768.00;5.52;5.61;3.52
0.73;60.20;56.00;2768.00;5.83;5.87;3.52
0.70;61.10;58.00;2768.00;5.66;5.73;3.48
0.70;60.90;57.00;2768.00;5.73;5.76;3.50
0.71;61.70;59.00;2768.00;5.71;5.67;3.51
0.74;61.30;56.00;2769.00;5.82;5.86;3.57
0.71;62.50;60.00;2770.00;5.65;5.61;3.52
0.73;61.40;59.00;2770.00;5.83;5.76;3.56
0.76;62.90;57.00;2770.00;5.79;5.81;3.65
0.76;62.40;57.00;2770.00;5.78;5.83;3.62
0.71;60.70;56.00;2770.00;5.77;5.80;3.51
0.73;60.70;58.00;2770.00;5.87;5.82;3.55
0.73;61.50;58.00;2770.00;5.79;5.75;3.55
0.73;59.90;57.00;2770.00;5.92;5.89;3.54
0.73;59.20;59.00;2770.00;5.92;5.87;3.49
0.72;60.30;56.00;2771.00;5.81;5.83;3.51
0.73;61.70;60.00;2771.00;5.79;5.82;3.58
0.71;61.90;57.00;2771.00;5.73;5.77;3.56
0.79;61.90;55.00;2771.00;5.97;5.92;3.68
0.73;60.40;59.00;2772.00;5.83;5.89;3.54
0.80;61.00;57.00;2772.00;6.01;6.03;3.67
0.58;61.50;55.00;2772.00;5.39;5.44;3.33
0.58;61.70;56.00;2772.00;5.33;5.37;3.30
0.71;59.20;61.00;2772.00;5.80;5.88;3.46
0.75;61.30;56.00;2773.00;5.85;5.89;3.60
0.70;58.00;62.00;2773.00;5.87;5.78;3.38
1.17;60.20;61.00;2774.00;6.83;6.90;4.13
0.60;61.70;55.00;2774.00;5.41;5.44;3.35
0.70;62.70;55.00;2774.00;5.68;5.74;3.58
0.83;64.60;54.00;2774.00;5.85;5.88;3.79
0.74;61.30;61.00;2775.00;5.80;5.84;3.57
0.72;63.70;56.40;2776.00;5.62;5.69;3.61
0.71;62.70;58.00;2776.00;5.74;5.68;3.58
0.71;62.20;57.00;2776.00;5.79;5.62;3.55
0.54;61.60;56.00;2776.00;5.25;5.27;3.24
0.54;61.50;57.00;2776.00;5.24;5.26;3.23
0.72;61.80;56.00;2776.00;5.72;5.75;3.55
0.72;60.70;56.00;2776.00;5.79;5.82;3.53
0.72;59.70;60.50;2776.00;5.80;5.84;3.47
0.71;60.50;56.00;2776.00;5.80;5.76;3.50
0.70;62.70;58.00;2777.00;5.66;5.73;3.57
0.71;62.10;58.00;2777.00;5.67;5.70;3.53
0.71;62.80;57.00;2777.00;5.64;5.69;3.56
0.71;63.80;58.00;2777.00;5.61;5.64;3.59
