price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;zipcode;lat;long;sqft_living15;sqft_lot15
221900.00;3.00;1.00;1180.00;5650.00;1.00;0.00;0.00;3.00;7.00;1180.00;0.00;1955.00;0.00;98178.00;475112.00;-122257.00;1340.00;5650.00
538000.00;3.00;2.25;2570.00;7242.00;2.00;0.00;0.00;3.00;7.00;2170.00;400.00;1951.00;1991.00;98125.00;47721.00;-122319.00;1690.00;7639.00
180000.00;2.00;1.00;770.00;10000.00;1.00;0.00;0.00;3.00;6.00;770.00;0.00;1933.00;0.00;98028.00;477379.00;-122233.00;2720.00;8062.00
604000.00;4.00;3.00;1960.00;5000.00;1.00;0.00;0.00;5.00;7.00;1050.00;910.00;1965.00;0.00;98136.00;475208.00;-122393.00;1360.00;5000.00
510000.00;3.00;2.00;1680.00;8080.00;1.00;0.00;0.00;3.00;8.00;1680.00;0.00;1987.00;0.00;98074.00;476168.00;-122045.00;1800.00;7503.00
1225000000.00;4.00;4.50;5420.00;101930.00;1.00;0.00;0.00;3.00;11.00;3890.00;1530.00;2001.00;0.00;98053.00;476561.00;-122005.00;4760.00;101930.00
257500.00;3.00;2.25;1715.00;6819.00;2.00;0.00;0.00;3.00;7.00;1715.00;0.00;1995.00;0.00;98003.00;473097.00;-122327.00;2238.00;6819.00
291850.00;3.00;1.50;1060.00;9711.00;1.00;0.00;0.00;3.00;7.00;1060.00;0.00;1963.00;0.00;98198.00;474095.00;-122315.00;1650.00;9711.00
229500.00;3.00;1.00;1780.00;7470.00;1.00;0.00;0.00;3.00;7.00;1050.00;730.00;1960.00;0.00;98146.00;475123.00;-122337.00;1780.00;8113.00
323000.00;3.00;2.50;1890.00;6560.00;2.00;0.00;0.00;3.00;7.00;1890.00;0.00;2003.00;0.00;98038.00;473684.00;-122031.00;2390.00;7570.00
662500.00;3.00;2.50;3560.00;9796.00;1.00;0.00;0.00;3.00;8.00;1860.00;1700.00;1965.00;0.00;98007.00;476007.00;-122145.00;2210.00;8925.00
468000.00;2.00;1.00;1160.00;6000.00;1.00;0.00;0.00;4.00;7.00;860.00;300.00;1942.00;0.00;98115.00;47.69;-122292.00;1330.00;6000.00
